com-, con-, co-	ともに、強意
troglo-, trogl-	洞穴生物
tungsto-, tungst-	[元素]タングステン
typo-, typ-	型、形式、イメージ、印刷
tyro-, tyr-	チーズ
ulcero-, ulcer-	潰瘍
unguio-, ungui-	爪
unso-, uns-	非対称の
urano-, uran-	[元素]ウラン、ウラニウム
urano-, uran-	天、空、天文の女神
uranoso-, uranos-	[元素]ウラン、ウラニウム
valvulo-, valvul-	小さな弁
vanado-, vanad-	バナジウム
vaso-, vas-	管(血管、脈管、導管、精管など)
vasculo-, vascul-	血管
ventio-, venti-	風
veratro-, veratr-	ベラトリン
vertebro-, vertebr-	脊椎、椎骨、 脊柱、 脊椎、 背骨
wolframo-, wolfram-	[物質]タングステン
xipho-, xiph-	剣、剣状の
xylo-, xyl-	木、キシロース
zircono-, zircon-	[元素]ジルコニウム
zoo-, zo-	動物
zono-, zon-	帯、バンド、地帯、帯状の、ベルト
zygo-, zyg-	くびき、結合、融合、一対
zygomatico-, zygomatic-	頬骨の
zymo-, zym-	酵母、酵素
dino-, din-	恐ろしい、大きい
disco-, disc-	ディスク、円盤、蓄音記録
tubulo-, tubul-	細管、管状の
athero-, ather-	粥状、アテローム
ethmo-, ethm-	篩骨、篩状の
dictyo-, dicty-	網、網状
acantho-, acanth-	とげ、針、針先、脊柱・脊椎骨
aristo-, arist-	最善、最良、貴族、最上
pinno-, pinn-	羽根、ひれ、水かき
seleno-, selen-	月の、三日月形の、[元素]セレニウム
hemo-, hem-	血
acuto-, acut-	鋭い、尖った
adipo-, adip-	脂肪
adreno-, adren-	副腎、アドレナリンの
alterno-, altern-	交互の
ampelo-, ampel-	ぶどう
arsenoso-, arsenos-	ヒ素と酸素から成る物質
atlanto-, atlant-	地図書、地図帳、環椎
boro-, bor-	［元素］ホウ素
brito-, brit-	イギリスの
calco-, calc-	石灰、カルシウム
diphyo-, diphy-	二重
glosso-, gloss-	舌、舌状の
manno-, mann-	(植物の)マナ、[物質]マンノースの
phospho-, phosph-	［物質］リン、リン酸
phosphoro-, phosphor-	［物質］リン、リン酸
picro-, picr-	苦味、［物質］ピクリン酸
scuto-, scut-	盾、盾状、甲
vesiculo-, vesicul-	小水疱、水疱液
malo-, mal-	悪い、悪～、不良、不完全
latio-, lati-	広い
peta-, pet-	10の15乗
alio-, ali-	翼
allo-, all-	異なる、異質の
allo-, all-	異なる、異質の
aorto-, aort-	動脈
apo-, ap-	～から離れた
azygo-, azyg-	対を成さない
biso-, bis-	2回、二度、両方
campho-, camph-	[物質]樟脳
ceno-, cen-	新しい
cross-	交差～、直交～、横断～、断面～、～間
cumulo-, cumul-	堆積、累積
dioecio-, dioeci-	雌雄異体の
diplo-, dipl-	二重、重複、複
dolicho-, dolich-	長い
elytro-, elytr-	翅鞘
embolo-, embol-	塞栓
eremo-, erem-	砂漠、孤立
erucio-, eruci-	イモ虫
feto-, fet-	胎児
filio-, fili-	糸
frigio-, frigo-	寒冷
frutio-, fruti-	低木
fuso-, fus-	紡錘、紡錘状
gingivo-, gingiv-	歯茎、歯肉
globo-, glob-	球形、球状
glomerulo-, glomerul-	糸球体
gonio-, goni-	角、顎角点
helio-, heli-	太陽、光
helio-, heli-	ヘリコプター
herpeto-, herpet-	爬虫両生類、ヘルペス、疱疹
hydroxyo-, hydroxy-	[物質]水酸基を含む
hylo-, hyl-	木質の、物質の
hypno-, hypn-	睡眠、催眠
ichno-, ichn-	足、足跡
ilio-, ili-	腸骨
larvio-, larvi-	幼虫
lemmo-, lemm-	髄鞘
lopho-, loph-	冠ふさ、冠毛、羽毛飾り
mechano-, mechan-	機械の
melo-, mel-	歌
meso-, mes-	中央、中間
mesatio-, mesati-	中位
mesio-, mesi-	中央の
metro-, metr-	子宮、測定、大都市
millio-, milli-	1000、1000分の1
millimicro-, millimicr-	10億分の1
mini-	小さい、小型の、小規模の、短い
mnemo-, mnem-	記憶
